id,amount,status,failure_reason,payment_method,customer_id,previous_attempts,fraud_signal,customer_opted_out,description
TX001,7100,SUCCESS,,netbanking,CUST_002,0,low,0,Cart purchase
TX002,26800,SUCCESS,,netbanking,CUST_026,1,low,0,Cart purchase
TX003,62000,FAILED,BANK_TIMEOUT,upi,CUST_038,2,low,0,Cart purchase
TX004,23100,FAILED,UPI_FAILURE,netbanking,CUST_058,1,high,0,Cart purchase
TX005,2600,SUCCESS,,wallet,CUST_048,0,low,0,Subscription renewal
TX006,15200,SUCCESS,,upi,CUST_001,1,low,0,Order checkout
TX007,20500,PENDING,SUBSCRIPTION_PAYMENT_PENDING,card,CUST_016,0,low,1,Membership fee
TX008,25300,SUCCESS,,card,CUST_001,1,low,0,Cart purchase
TX009,23100,SUCCESS,,card,CUST_061,0,medium,0,Service payment
TX010,5000,FAILED,BANK_TIMEOUT,wallet,CUST_021,1,low,0,Invoice settlement
TX011,17100,PENDING,SUBSCRIPTION_PAYMENT_PENDING,wallet,CUST_020,1,low,0,Cart purchase
TX012,2900,ABANDONED,CHECKOUT_INCOMPLETE,netbanking,CUST_046,0,low,0,Membership fee
TX013,10400,SUCCESS,,netbanking,CUST_016,1,medium,0,Subscription renewal
TX014,5500,SUCCESS,,wallet,CUST_044,1,low,0,Order checkout
TX015,18400,PENDING,SUBSCRIPTION_PAYMENT_PENDING,upi,CUST_026,1,low,0,Order checkout
TX016,15300,SUCCESS,,wallet,CUST_003,0,low,0,Service payment
TX017,5000,SUCCESS,,card,CUST_050,1,low,0,Order checkout
TX018,13100,OVERDUE,INVOICE_OVERDUE,card,CUST_045,1,low,0,Cart purchase
TX019,9900,PENDING,SUBSCRIPTION_PAYMENT_PENDING,card,CUST_042,3,low,0,Service payment
TX020,26600,SUCCESS,,upi,CUST_028,0,low,0,Cart purchase
TX021,21700,SUCCESS,,wallet,CUST_070,0,medium,0,Subscription renewal
TX022,12000,SUCCESS,,upi,CUST_036,0,low,0,Membership fee
TX023,18700,PENDING,SUBSCRIPTION_PAYMENT_PENDING,upi,CUST_034,0,medium,0,Membership fee
TX024,2500,SUCCESS,,card,CUST_014,1,low,0,Invoice settlement
TX025,10800,SUCCESS,,netbanking,CUST_033,0,low,0,Invoice settlement
TX026,14100,SUCCESS,,upi,CUST_013,0,low,0,Membership fee
TX027,18900,SUCCESS,,netbanking,CUST_059,0,medium,0,Subscription renewal
TX028,20000,OVERDUE,INVOICE_OVERDUE,wallet,CUST_016,2,low,0,Invoice settlement
TX029,13200,SUCCESS,,netbanking,CUST_008,1,low,0,Invoice settlement
TX030,10000,SUCCESS,,netbanking,CUST_054,1,low,1,Invoice settlement
TX031,7000,FAILED,DECLINED_BY_BANK,upi,CUST_015,1,low,0,Subscription renewal
TX032,17600,ABANDONED,CHECKOUT_INCOMPLETE,netbanking,CUST_004,3,low,0,Cart purchase
TX033,12900,FAILED,NETWORK_ERROR,wallet,CUST_029,1,low,1,Membership fee
TX034,18200,SUCCESS,,netbanking,CUST_019,0,low,0,Cart purchase
TX035,14200,SUCCESS,,netbanking,CUST_018,0,low,0,Membership fee
TX036,27500,OVERDUE,INVOICE_OVERDUE,netbanking,CUST_067,2,low,0,Membership fee
TX037,8500,ABANDONED,CHECKOUT_INCOMPLETE,upi,CUST_029,1,medium,0,Cart purchase
